property_id,host_id,country_code,property_type,room_type,price,security_deposit,cleaning_fee,accommodates,bedrooms,beds,bathrooms,number_of_reviews,review_scores_rating
PID_00075,36696735,BR,Apartment,Entire home/apt,351,500,120,4,2,2,2,32,95
PID_00076,4765935,BR,Bed and breakfast,Private room,112,0,0,2,1,1,1,11,98
PID_00077,4548918,AU,Guest suite,Entire home/apt,45,136,50,5,1,4,1,104,96
PID_00078,2509326,AU,House,Entire home/apt,399,1000,185,8,3,6,2,139,96
PID_00079,5738969,US,Condominium,Entire home/apt,229,NA,95,4,1,3,1,19,94
PID_00080,53729453,BR,Apartment,Entire home/apt,298,NA,NA,3,1,1,1,0,NA
PID_00081,53059934,PT,Apartment,Entire home/apt,80,500,30,4,1,2,1,13,95
PID_00082,33687645,BR,House,Entire home/apt,2499,NA,NA,11,4,8,7,0,NA
PID_00083,53247930,HK,Condominium,Private room,479,NA,NA,2,1,1,1,179,94
PID_00084,45186586,AU,House,Entire home/apt,999,NA,NA,6,4,4,4,0,NA
PID_00085,3251237,AU,Guesthouse,Entire home/apt,129,0,60,2,1,1,1,146,97
PID_00086,53957975,BR,Apartment,Private room,112,NA,NA,1,1,1,1,0,NA
PID_00087,22766460,TR,Apartment,Entire home/apt,264,0,0,8,3,4,1,77,94
PID_00088,9320470,PT,Apartment,Entire home/apt,29,0,10,2,0,1,1,31,89
PID_00089,53849209,TR,Apartment,Private room,100,NA,100,2,1,2,1,0,NA
PID_00090,54221119,BR,Condominium,Entire home/apt,351,NA,NA,6,2,5,2,18,95
PID_00091,16313394,HK,Apartment,Private room,353,0,50,4,1,2,1,18,71
PID_00092,54294012,US,Condominium,Entire home/apt,125,250,99,4,2,3,1.5,65,96
PID_00093,10099253,US,Apartment,Entire home/apt,144,250,150,2,1,1,1,1,NA
PID_00094,1929411,ES,Apartment,Private room,20,NA,20,2,1,2,1,1,100
PID_00095,4148248,US,Apartment,Entire home/apt,125,200,80,4,1,1,1,126,96
PID_00096,54391530,US,House,Entire home/apt,325,500,250,11,4,6,2,45,98
PID_00097,23405752,AU,Apartment,Entire home/apt,85,NA,15,2,1,1,1,2,100
PID_00098,54320669,ES,Apartment,Entire home/apt,85,100,40,6,2,3,1,51,71
PID_00099,12870591,PT,Apartment,Entire home/apt,60,200,25,6,2,3,1,20,89
PID_00100,3665789,BR,Apartment,Entire home/apt,395,1000,300,6,2,5,2,9,91
PID_00101,54539364,US,Guest suite,Entire home/apt,135,200,50,3,0,0,1,115,98
PID_00102,308899,US,Guesthouse,Entire home/apt,120,200,100,2,1,1,1,114,95
PID_00103,54320669,ES,Apartment,Entire home/apt,169,200,60,8,4,6,2,77,90
PID_00104,5823933,TR,Apartment,Private room,105,NA,60,2,1,1,1,31,96
PID_00105,47039858,BR,Apartment,Entire home/apt,701,NA,100,4,1,4,1,0,NA
PID_00106,54761069,US,Apartment,Private room,80,100,50,1,1,1,1,10,100
PID_00107,19543283,HK,Apartment,Entire home/apt,801,NA,NA,5,2,2,2,0,NA
PID_00108,54662715,PT,Apartment,Entire home/apt,80,700,20,6,3,3,1,132,92
PID_00109,1381764,BR,Apartment,Entire home/apt,351,800,140,4,1,2,1,110,95
PID_00110,54904357,BR,Apartment,Entire home/apt,933,NA,298,6,3,7,4,13,100
PID_00111,25679882,TR,Apartment,Private room,137,NA,NA,2,1,1,1,0,NA
PID_00112,54984412,BR,Apartment,Entire home/apt,298,1000,160,5,3,3,3,1,100
PID_00113,36481278,HK,Apartment,Entire home/apt,997,1000,500,2,1,1,1,10,95
PID_00114,35484736,PT,Apartment,Entire home/apt,55,150,25,4,0,2,1,62,97
PID_00115,4532951,BR,House,Entire home/apt,1999,NA,NA,8,6,6,5,0,NA
PID_00116,1121661,US,House,Entire home/apt,72,100,12,2,1,1,1,18,96
PID_00117,55124555,BR,House,Entire home/apt,3726,3730,NA,10,4,6,6,0,NA
PID_00118,5173928,CA,Apartment,Private room,30,NA,20,2,1,1,1,0,NA
PID_00119,6151720,ES,Apartment,Entire home/apt,31,100,7,5,4,4,1,2,60
PID_00120,2128778,US,Apartment,Private room,50,NA,50,2,1,1,1,46,96
PID_00121,5884464,US,Guest suite,Private room,139,200,85,2,1,1,1,167,93
PID_00122,5888954,ES,Condominium,Private room,40,100,15,3,1,3,1,191,82
PID_00123,15560428,BR,Apartment,Entire home/apt,451,500,200,5,2,3,2,34,95
PID_00124,6486855,ES,Apartment,Private room,15,NA,NA,2,1,1,1,0,NA
PID_00125,3082095,AU,House,Private room,65,120,25,2,1,1,1.5,84,96
PID_00126,5908273,TR,Apartment,Entire home/apt,385,NA,298,2,1,1,1,17,97
PID_00127,19354362,TR,Apartment,Entire home/apt,417,0,237,4,1,2,1,6,83
PID_00128,11417174,PT,Apartment,Entire home/apt,58,300,40,3,1,1,1,32,94
PID_00129,20358661,US,Apartment,Private room,90,NA,50,1,1,1,1,0,NA
PID_00130,5929670,TR,House,Private room,685,NA,NA,3,1,NA,NA,0,NA
PID_00131,3938375,TR,Serviced apartment,Entire home/apt,211,596,NA,3,1,2,1,1,80
PID_00132,542867,ES,Apartment,Entire home/apt,89,NA,30,4,2,2,1,104,93
PID_00133,55390614,ES,Condominium,Private room,40,90,10,2,1,2,1,122,78
PID_00134,4827009,US,Apartment,Private room,60,NA,NA,2,1,1,1.5,0,NA
PID_00135,56006867,HK,Apartment,Entire home/apt,1703,0,400,5,2,3,1,86,99
PID_00136,4812766,TR,Apartment,Private room,53,NA,26,1,1,1,1,0,NA
PID_00137,28616106,BR,Hostel,Private room,187,NA,NA,2,1,1,1,1,NA
PID_00138,13416742,HK,Condominium,Private room,447,776,300,2,1,1,1,72,97
PID_00139,43392680,HK,Apartment,Private room,2748,NA,NA,2,1,1,1,0,NA
PID_00140,930612,HK,Apartment,Entire home/apt,1146,1500,285,5,3,3,1.5,125,87
PID_00141,56197328,US,Apartment,Private room,128,1500,75,2,1,1,1,29,99
PID_00142,25469566,BR,Apartment,Entire home/apt,746,NA,75,4,2,3,2,0,NA
PID_00143,56230710,BR,Condominium,Entire home/apt,134,NA,93,4,2,3,1,0,NA
PID_00144,36894011,US,Apartment,Entire home/apt,250,500,200,8,3,3,2,89,98
PID_00145,55601443,BR,Apartment,Entire home/apt,172,NA,NA,4,2,2,1,0,NA
PID_00146,39754804,US,Apartment,Entire home/apt,125,1000,50,2,1,1,1,60,95
PID_00147,9479239,HK,Apartment,Entire home/apt,1484,5000,300,2,1,1,1,18,98
PID_00148,663764,US,Apartment,Private room,47,100,20,2,1,1,1,241,93
PID_00149,5990033,AU,House,Entire home/apt,500,1000,150,8,4,5,3,3,93
PID_00150,29744388,BR,Apartment,Private room,149,330,80,2,1,1,2,2,100
PID_00151,52473150,HK,Apartment,Private room,597,0,0,4,1,3,1,15,76
PID_00152,5887081,US,Townhouse,Entire home/apt,110,400,40,2,1,2,1,184,96
PID_00153,49457265,US,House,Entire home/apt,189,250,150,8,2,4,2,44,87
PID_00154,56775580,US,Apartment,Entire home/apt,99,NA,50,2,1,1,1,137,93
PID_00155,6017048,US,House,Entire home/apt,169,200,200,14,4,8,3,119,97
PID_00156,56949831,HK,Hostel,Private room,447,0,50,1,1,1,1,203,96
PID_00157,4099460,AU,Apartment,Entire home/apt,119,600,75,2,1,1,1,9,84
PID_00158,56998832,TR,House,Entire home/apt,359,NA,NA,4,2,2,1,15,94
PID_00159,57023844,US,House,Private room,90,150,25,2,1,1,1,21,91
PID_00160,56866557,US,House,Private room,105,NA,NA,2,1,1,1,44,98
PID_00161,21965282,US,Apartment,Private room,59,0,25,3,1,1,1,13,98
PID_00162,57107571,US,Apartment,Entire home/apt,200,0,125,2,1,1,1,19,100
PID_00163,396363,ES,Apartment,Entire home/apt,91,500,NA,6,2,3,2,0,NA
PID_00164,396363,ES,Apartment,Entire home/apt,91,500,NA,4,2,3,2,1,80
PID_00165,22677216,TR,Apartment,Private room,47,NA,NA,1,1,1,1,1,100
PID_00166,6048514,US,Apartment,Entire home/apt,189,450,80,3,1,1,1,215,98
PID_00167,41813973,ES,Apartment,Private room,40,NA,NA,2,1,1,1,0,NA
PID_00168,1671879,US,Condominium,Entire home/apt,325,300,350,8,2,4,2,103,82
PID_00169,45448833,HK,Apartment,Private room,400,NA,50,2,1,1,1,105,88
PID_00170,57521137,CA,Apartment,Private room,21,NA,NA,2,1,1,1,1,80
PID_00171,37031267,HK,Condominium,Entire home/apt,463,800,120,2,0,1,1,206,94
PID_00172,45448833,HK,Apartment,Private room,298,NA,50,2,1,1,1,139,89
PID_00173,24800102,US,Apartment,Entire home/apt,110,0,10,3,1,1,1,199,90
PID_00174,56949831,HK,Apartment,Private room,424,0,50,1,1,1,1,211,97
PID_00175,11170203,ES,Apartment,Entire home/apt,84,250,69,4,2,2,1,130,95
PID_00176,17638280,TR,Townhouse,Entire home/apt,633,1055,211,4,0,2,1,0,NA
PID_00177,6099660,ES,Apartment,Entire home/apt,85,300,50,6,4,6,2,43,87
PID_00178,35858044,ES,Apartment,Private room,25,NA,25,2,1,1,1,108,90
PID_00179,6107595,ES,Apartment,Entire home/apt,130,300,65,7,3,7,2,129,95
PID_00180,57838569,TR,Bed and breakfast,Private room,359,NA,NA,1,1,2,1,0,NA
PID_00181,57846393,BR,Villa,Entire home/apt,209,724,169,5,3,4,1.5,7,94
PID_00182,3320587,ES,Apartment,Private room,65,200,35,4,2,2,1,57,97
PID_00183,57921954,TR,Apartment,Entire home/apt,348,0,50,4,2,3,1,22,94
PID_00184,57929069,HK,Apartment,Private room,188,NA,NA,1,1,1,1,27,92
PID_00185,57620332,TR,Apartment,Private room,90,0,60,1,1,1,1,2,100
PID_00186,23377306,ES,Apartment,Entire home/apt,130,NA,30,5,4,5,2,1,80
PID_00187,17259339,US,Apartment,Entire home/apt,100,100,NA,2,0,1,1,26,97
PID_00188,2843987,US,Condominium,Entire home/apt,125,500,55,3,1,1,1,16,97
PID_00189,35320932,US,Apartment,Entire home/apt,125,NA,NA,4,2,3,1,19,88
PID_00190,28376927,ES,Apartment,Private room,31,NA,NA,2,1,1,1,23,86
PID_00191,58284747,HK,Apartment,Private room,353,NA,NA,2,1,1,1,0,NA
PID_00192,3072862,TR,Apartment,Private room,506,NA,NA,2,1,1,1,0,NA
PID_00193,12431812,BR,Apartment,Entire home/apt,306,700,160,5,2,5,1.5,2,100
PID_00194,733802,US,Condominium,Entire home/apt,400,200,270,6,2,3,2,7,97
PID_00195,26304763,US,Apartment,Entire home/apt,350,500,155,7,2,4,2,112,92
PID_00196,756093,US,Apartment,Private room,234,0,141,2,1,1,1,4,100
PID_00197,14861546,HK,Apartment,Entire home/apt,298,3900,240,1,0,1,1,1,100
PID_00198,6188776,HK,Apartment,Entire home/apt,793,2000,NA,2,1,1,1,1,NA
PID_00199,6194110,US,Apartment,Entire home/apt,135,250,150,3,0,1,1,87,96
PID_00200,20204555,HK,Apartment,Entire home/apt,903,1000,0,5,2,2,1,3,90
PID_00201,6205300,AU,Apartment,Entire home/apt,461,NA,NA,3,2,2,1,35,99
PID_00202,2154262,US,Condominium,Entire home/apt,239,0,193,2,1,1,1,0,NA
PID_00203,3038687,US,Loft,Entire home/apt,79,1000,100,4,NA,1,1,12,93
PID_00204,5650826,US,Apartment,Private room,40,NA,NA,3,1,1,1,2,100
PID_00205,6233644,US,Apartment,Entire home/apt,200,500,100,2,0,1,1,0,NA
PID_00206,7747793,CA,Apartment,Entire home/apt,64,NA,25,4,2,2,1,5,100
PID_00207,59658503,TR,Apartment,Private room,227,NA,NA,2,1,1,2,0,NA
PID_00208,53836,US,Cabin,Entire home/apt,65,NA,NA,2,1,1,1,1,NA
PID_00209,6245401,AU,Cabin,Entire home/apt,109,200,30,2,1,1,1,230,98
PID_00210,59727467,TR,Apartment,Private room,95,NA,60,2,1,1,1,0,NA
PID_00211,12716878,AU,House,Private room,75,NA,50,2,1,1,2.5,2,NA
PID_00212,6251533,ES,Apartment,Private room,35,0,20,3,2,2,1,54,95
PID_00213,33644977,BR,Apartment,Entire home/apt,518,NA,300,6,3,4,3,11,96
PID_00214,28689814,TR,Apartment,Private room,148,NA,NA,2,1,1,1,24,98
PID_00215,35821827,PT,Apartment,Entire home/apt,60,250,20,7,2,5,1.5,229,95
PID_00216,24081198,CA,Apartment,Private room,60,NA,NA,1,1,1,2.5,0,NA
PID_00217,6016999,AU,Apartment,Entire home/apt,161,150,70,3,1,2,1,41,94
PID_00218,2220420,PT,Loft,Entire home/apt,40,0,0,4,1,1,1,380,92
PID_00219,9018452,CA,Apartment,Private room,70,150,NA,2,1,2,1,2,100
PID_00220,38038584,HK,Bed and breakfast,Private room,283,0,0,2,1,2,1,38,95
PID_00221,48943549,PT,Apartment,Entire home/apt,80,0,0,4,1,2,1.5,211,98
PID_00222,6172276,AU,House,Private room,125,NA,NA,1,1,1,2,12,88
PID_00223,5737780,BR,Apartment,Entire home/apt,351,1000,250,6,3,8,2.5,4,100
PID_00224,25282650,US,House,Private room,100,NA,15,2,1,1,1.5,203,99
PID_00225,836168,US,Condominium,Entire home/apt,1000,NA,NA,3,1,1,1,24,98
PID_00226,60365338,BR,Condominium,Entire home/apt,933,NA,NA,8,2,2,2,0,NA
PID_00227,7990995,US,Apartment,Private room,35,NA,NA,1,1,1,1,0,NA
PID_00228,15756802,TR,Apartment,Private room,190,NA,NA,2,1,2,2,5,100
PID_00229,6298986,US,Apartment,Private room,48,200,30,2,1,1,1,45,94
PID_00230,37725953,PT,Apartment,Entire home/apt,80,0,15,2,1,1,1,1,100
PID_00231,1946293,HK,Apartment,Entire home/apt,761,NA,250,3,2,2,1,11,98
PID_00232,4878564,ES,Apartment,Entire home/apt,60,200,80,2,1,1,1,6,65
PID_00233,50752970,TR,Apartment,Private room,100,1845,NA,1,1,1,1,0,NA
PID_00234,1191923,US,House,Entire home/apt,895,0,600,8,3,5,2,0,NA
PID_00235,3483450,US,Apartment,Entire home/apt,125,100,75,4,1,1,1,37,94
PID_00236,2199502,US,House,Entire home/apt,499,500,175,8,4,7,2,104,97
PID_00237,40699783,HK,Apartment,Private room,267,NA,150,2,1,1,1,36,90
PID_00238,6334250,US,Apartment,Entire home/apt,79,250,80,2,1,1,1,180,93
PID_00239,61100954,CA,Apartment,Entire home/apt,55,200,30,2,0,1,1,42,92
PID_00240,10929225,US,Apartment,Private room,60,NA,5,2,1,1,1,2,100
PID_00241,1253313,US,Apartment,Entire home/apt,90,350,85,4,1,1,1.5,28,98
PID_00242,29480889,US,Guest suite,Entire home/apt,150,200,90,2,1,2,1,25,96
PID_00243,22076771,ES,Apartment,Entire home/apt,55,500,80,4,3,4,1,7,93
PID_00244,61391963,US,Apartment,Entire home/apt,133,500,150,4,1,1,1,7,80
PID_00245,7982432,US,Apartment,Private room,65,NA,NA,1,1,1,1,1,NA
PID_00246,31348206,US,Guesthouse,Entire home/apt,100,500,0,6,1,3,1,385,98
PID_00247,4284876,BR,Apartment,Entire home/apt,250,800,160,5,1,1,1,22,93
PID_00248,32479280,ES,Apartment,Private room,25,NA,10,1,1,1,1,0,NA
PID_00249,61646690,CA,Condominium,Entire home/apt,35,NA,NA,2,1,1,1,2,70
PID_00250,4266047,US,Apartment,Private room,105,NA,NA,1,1,1,1,58,98
PID_00251,5473973,HK,Apartment,Entire home/apt,550,NA,100,2,1,1,1,0,NA
PID_00252,62031792,BR,Apartment,Entire home/apt,548,373,99,4,2,2,1,2,100
PID_00253,61415197,BR,Apartment,Entire home/apt,246,NA,180,2,1,1,1,0,NA
PID_00254,6394019,HK,Apartment,Entire home/apt,903,NA,NA,2,0,1,1,1,100
PID_00255,20988214,BR,Loft,Entire home/apt,179,0,100,2,0,1,1,0,NA
PID_00256,1986299,ES,Apartment,Entire home/apt,90,300,60,6,4,4,1,20,84
PID_00257,528512,CA,Apartment,Private room,30,0,20,1,1,1,1.5,122,88
PID_00258,62130666,US,Apartment,Entire home/apt,225,1000,NA,4,2,4,1,94,97
PID_00259,8557006,BR,Apartment,Entire home/apt,112,373,131,2,1,2,1,33,97
PID_00260,62148947,BR,Apartment,Entire home/apt,1000,10000,NA,4,2,2,2,0,NA
PID_00261,62150628,US,Condominium,Entire home/apt,200,300,156,5,2,2,2,17,94
PID_00262,41161072,PT,Apartment,Entire home/apt,34,0,19,2,0,1,1,163,94
PID_00263,44145,US,Apartment,Entire home/apt,85,NA,50,2,1,1,1,207,87
PID_00264,62289550,CA,Apartment,Entire home/apt,60,NA,NA,2,1,1,1,0,NA
PID_00265,62153375,BR,Other,Entire home/apt,250,NA,100,4,0,3,1,2,100
PID_00266,4499997,AU,House,Private room,55,NA,NA,1,1,1,1,1,100
PID_00267,50347595,AU,Apartment,Entire home/apt,124,200,20,4,2,2,2,0,NA
PID_00268,62441592,TR,Apartment,Private room,42,0,0,2,1,2,1,0,NA
PID_00269,59638323,BR,House,Private room,52,0,25,2,1,1,2,76,99
PID_00270,593115,US,Apartment,Entire home/apt,150,150,75,2,1,1,1,95,90
PID_00271,50199714,US,Apartment,Private room,38,0,50,3,1,1,1,75,90
PID_00272,46024282,BR,House,Private room,142,NA,100,2,1,1,1,0,NA
PID_00273,3246867,ES,Apartment,Private room,40,150,10,2,1,1,1,4,90
PID_00274,1245194,HK,Apartment,Entire home/apt,1492,1570,942,8,3,4,2,36,83
PID_00275,62713640,HK,Apartment,Entire home/apt,502,800,100,2,0,1,1,269,92
PID_00276,9031139,AU,Townhouse,Private room,171,0,0,4,2,2,1.5,3,100
PID_00277,41695212,HK,Apartment,Entire home/apt,691,NA,180,2,1,1,1,3,87
PID_00278,2377793,CA,Apartment,Entire home/apt,150,NA,45,3,1,2,1,1,80
PID_00279,27101013,TR,Apartment,Private room,158,NA,26,2,1,1,1,1,100
PID_00280,37118689,AU,House,Entire home/apt,650,NA,NA,8,4,4,2,0,NA
PID_00281,62939516,US,Apartment,Private room,65,NA,NA,1,1,1,1,5,96
PID_00282,57940735,US,Condominium,Entire home/apt,240,NA,175,6,2,3,2,18,99
PID_00283,6361579,HK,Apartment,Private room,306,0,0,2,0,2,1,71,91
PID_00284,4174788,TR,Apartment,Entire home/apt,90,NA,NA,2,1,1,1,176,87
PID_00285,23993576,PT,Apartment,Entire home/apt,120,NA,NA,4,3,3,1,10,93
PID_00286,5878688,ES,Serviced apartment,Entire home/apt,599,100,0,8,4,7,2,4,100
PID_00287,55097201,TR,Apartment,Entire home/apt,269,NA,NA,2,1,1,1,0,NA
PID_00288,63088500,BR,Condominium,Entire home/apt,1000,NA,400,8,5,5,4.5,1,100
PID_00289,23898986,CA,Apartment,Entire home/apt,79,300,NA,3,2,2,1,1,100
PID_00290,9998124,CA,Apartment,Entire home/apt,90,200,30,4,2,2,1,93,92
PID_00291,6550117,AU,Apartment,Entire home/apt,165,NA,35,2,1,1,1,0,NA
PID_00292,4404268,US,Apartment,Entire home/apt,250,400,150,4,2,2,1,217,94
PID_00293,48161510,BR,Serviced apartment,Entire home/apt,548,2000,100,4,1,1,1,2,100
PID_00294,11461476,CA,Apartment,Entire home/apt,75,200,55,4,1,2,1,25,99
PID_00295,56543131,CA,Apartment,Entire home/apt,115,NA,NA,6,2,4,1,13,94
PID_00296,39166875,US,Condominium,Entire home/apt,139,150,90,3,0,1,1,19,88
PID_00297,5432336,ES,Apartment,Entire home/apt,58,200,60,5,2,3,1,213,88
PID_00298,54784222,BR,House,Private room,317,560,NA,2,1,2,1.5,5,100
PID_00299,11031120,AU,Chalet,Entire home/apt,242,0,107,2,1,1,1,0,NA
PID_00300,63486615,PT,Apartment,Entire home/apt,75,NA,NA,4,1,4,1,5,96
PID_00301,42173021,AU,Apartment,Entire home/apt,151,NA,20,2,0,1,1,2,100
PID_00302,3427620,US,Condominium,Entire home/apt,345,300,NA,8,3,5,2,65,98
PID_00303,63618115,BR,Apartment,Entire home/apt,209,309,180,4,1,4,1,5,92
PID_00304,63700948,AU,Apartment,Private room,53,NA,NA,2,1,1,1,0,NA
PID_00305,24253453,US,House,Private room,85,NA,NA,2,1,1,1.5,1,100
PID_00306,27836110,CA,Condominium,Entire home/apt,68,NA,25,3,0,1,1,16,98
PID_00307,15900036,BR,Condominium,Private room,108,0,99,5,1,1,1,107,98
PID_00308,42159678,BR,House,Entire home/apt,399,NA,NA,5,2,3,2.5,1,100
PID_00309,20407614,BR,Apartment,Entire home/apt,131,367,260,6,2,3,2,31,97
PID_00310,61382975,BR,Apartment,Entire home/apt,3499,NA,NA,6,4,4,4,0,NA
PID_00311,16022141,ES,Apartment,Private room,38,NA,19,2,1,1,1,12,98
PID_00312,6535569,PT,Apartment,Private room,30,NA,NA,2,1,1,1,4,100
PID_00313,63901222,BR,Apartment,Entire home/apt,2499,2500,200,8,4,4,7,0,NA
PID_00314,6544866,ES,Apartment,Entire home/apt,155,200,30,4,2,3,2,23,98
PID_00315,4656501,PT,Apartment,Entire home/apt,50,NA,NA,2,1,1,2,3,100
PID_00316,42618840,US,Condominium,Entire home/apt,246,0,157,5,1,3,1,28,94
PID_00317,43236984,HK,Apartment,Private room,314,785,157,1,1,1,1,0,NA
PID_00318,64195788,BR,Apartment,Entire home/apt,399,NA,150,6,3,4,3.5,5,100
PID_00319,6557072,US,Loft,Entire home/apt,99,250,200,4,0,0,1,39,89
